Time,SlantRange,Azimuth,Elevation,RadialVelocity,X,Y,Z,Group_Size,Circle,Track_ID
71359.359,1612.0,-55.010000000000005,1.86,2.4,923.8876998560207,-1319.9386322152488,52.321365048031,0,251,1066
71359.716,482.0,-12.16000000000002,-0.8,1.2,471.13952764724763,-101.51973045495168,-6.729770923468021,0,251,1061
71360.219,122.99999999999999,48.18,-1.02,-1.2,82.00249993682026,91.65039971527045,-2.1895744205083654,0,251,1066
71360.24,3606.0,50.39,6.29,6.0,2285.195823908225,2761.345816854972,395.07635480999903,0,251,1061
71362.378,1673.0,-50.52999999999998,0.21000000000000002,1.2,1063.475645192302,-1291.4762686474749,6.131851532174538,0,252,1066
71362.641,939.0000000000001,-18.990000000000002,12.879999999999999,-7.0,865.555008536763,-297.86552173411553,209.3123459306388,0,252,1066
71362.672,2633.0,-14.600000000000021,0.9,-1.2,2547.6639081260532,-663.6167414024131,41.357366482023835,0,252,1061
71363.196,2900.9999999999995,48.01,4.620000000000001,3.6,1934.4656800162204,2149.196018522143,233.66644347862572,0,252,1066
71363.239,513.0,58.49,1.77,1.2,267.9901738942525,437.14893909517,15.845243579562583,0,252,1061
71371.082,1040.0,-77.48000000000003,6.91,-1.2,223.8140084852763,-1007.8946607046017,125.12251008075405,0,255,1083
71371.439,1123.0,-35.300000000000004,1.14,-2.4,916.3411028125021,-648.8056661428689,22.342579915395785,0,255,1088
71371.596,978.9999999999999,-15.710000000000006,12.110000000000001,-8.8,921.4567541267314,-259.1833521908741,205.38364156214965,0,255,1086
71371.596,791.0,-16.180000000000025,22.250000000000004,10.6,703.1046990615515,-204.00467959383633,299.5110563257745,0,255,1087
71371.606,2662.0,-14.339999999999986,0.55,-1.2,2578.941393775423,-659.281679584337,25.552973136909177,0,255,1085
71371.628,490.99999999999994,-12.529999999999998,-0.76,2.4,479.26346439705793,-106.51345782521567,-6.512679651723702,0,255,1083
71371.67,2681.9999999999995,-7.160000000000028,6.450000000000001,12.0,2644.2416881484555,-332.1700840843044,301.2854624724383,0,255,1088
71371.754,2195.0,3.0100000000000002,3.7800000000000002,-2.4,2187.2032018487935,115.00925360255273,144.7066875032744,0,255,1082
71371.795,1225.0,7.72,0.03,-1.2,1213.8968860429757,164.556794603992,0.6414084708002861,0,255,1085
71371.795,4698.0,8.44,0.06,-1.2,4647.118613200135,689.5421604761596,4.919733196339641,0,255,1083
71371.816,1292.0,10.25,0.06,1.2,1271.3798842466615,229.90293469375618,1.3529789888613915,0,255,1082
71371.921,3273.0,23.34,3.9,-2.4,2998.211321252117,1293.7159114289707,222.61404634735726,0,255,1088
71372.026,3412.9999999999995,35.58,4.52,1.2,2767.173172446666,1979.6407613239826,268.9685665576115,0,255,1086
71372.068,424.0,41.080000000000005,1.32,-2.4,319.5233382600187,278.5416204241369,9.767394671545041,0,255,1085
71372.194,2513.0,55.970000000000006,2.27,-1.2,1405.2388269289768,2081.0010420390995,99.53643716476239,0,255,1085
71372.277,1020.0000000000001,66.14000000000001,2.78,1.2,412.1077134333646,931.7294880109686,49.47114006713835,0,255,1081
71377.018,763.9999999999999,-80.27999999999996,3.81,-2.4,128.70367192951534,-751.3681831760208,50.766309129434354,0,257,1090
71380.436,1792.0000000000002,-27.42000000000004,2.8699999999999997,-1.2,1588.6820368827605,-824.1982343566166,89.72544883966465,0,258,1090
71380.603,193.99999999999997,-7.1399999999999775,5.080000000000001,7.2,191.73949268256925,-24.018364299373403,17.17804186202711,0,258,1095
71381.148,3802.9999999999995,59.19,4.660000000000001,9.6,1941.4301411479441,3255.4873697363078,308.9660054595756,0,258,1090
71387.168,422.0,66.93,3.4800000000000004,2.4,165.05807647198057,387.5353920059045,25.615451083276778,0,260,1103
