时间(s),斜距(m),方位角（°）,俯仰角（°）,径向速度（m/s）,圈数
42533.787,720,31.69,13.32,7,7
42533.89,1172,43,10.5,6,7
42535.736,801,268.55,11.78,-5.3,8
42536.072,1013,309.99,11.4,7,8
42536.072,990,308.94,14.02,7,8
42536.113,1278,312.1,9.44,6,8
42536.113,879,317.32,11.31,5.3,8
42536.113,695,313.68,13.64,5.3,8
42536.113,353,313.58,26.83,5.3,8
42536.135,909,315.95,11.6,7,8
42536.145,1339,317.33,7.13,6,8
42536.176,678,320.98,16.11,5.3,8
42536.198,943,323.49,10.82,5.3,8
42536.219,351,326.02,28.21,5.3,8
42536.261,904,331.07,13.97,5.3,8
42536.282,595,333.6,17.31,5.3,8
42536.302,1250,334.77,8.38,6,8
42536.345,1081,341.23,12.56,5.3,8
42536.345,673,341.25,20.42,5.3,8
42536.355,2299,343.15,5.51,8.4,8
42536.387,1002,346.58,13.59,5.3,8
42536.387,596,346.84,22.91,5.3,8
42536.397,3126,347.78,3.29,7.2,8
42536.408,642,353.33,15.23,5.3,8
42536.408,762,348.88,14.26,5.3,8
42536.408,420,351.01,21.95,5.3,8
42536.481,1836,357.63,7.27,-7.2,8
42536.491,1391,357.63,7.77,6,8
42536.491,736,359.21,17.58,7,8
42536.491,373,359.31,27.62,5.3,8
42536.575,1230,9.54,10.64,5.3,8
42536.575,401,10.66,24.46,5.3,8
42536.596,839,12.07,16.85,5.3,8
42536.659,1255,18.12,8.38,6,8
42536.659,905,19.43,11.45,5.3,8
42536.785,693,34.34,12.98,5.3,8
42536.869,1351,43.12,7.61,6,8
42538.799,761,278.75,11.9,8.8,9
42538.799,800,278.75,15.49,7,9
42539.05,1022,309.83,11.36,5.3,9
42539.05,1010,308.56,14.08,5.3,9
42539.092,903,314.05,13.36,5.3,9
42539.134,893,318.6,11.01,5.3,9
42539.134,883,319.09,16.14,5.3,9
42539.155,1373,319.76,9.92,6,9
42539.176,959,323.62,10.64,5.3,9
42539.197,1420,324.81,7.44,6,9
42539.238,939,331.37,10.54,7,9
42539.259,1273,333.07,8.48,7.2,9
42539.269,1931,335.58,4.94,8.4,9
42539.281,1010,336.25,12.46,5.3,9
42539.323,1096,341.33,12.4,5.3,9
42539.323,640,342.57,21.03,5.3,9
42539.344,1299,343.25,7.76,7.2,9
42539.344,910,344.15,13.93,5.3,9
42539.366,657,348.31,14.97,5.3,9
42539.366,613,346.91,21.88,5.3,9
42539.375,1993,347.59,5.8,6,9
42539.385,842,348.96,14.92,7,9
42539.385,433,349.82,20.56,5.3,9
42539.406,819,351.5,16.33,5.3,9
42539.416,2332,353.26,3.98,7.2,9
42539.428,1065,354.03,10.29,5.3,9
42539.437,2355,355.21,5.52,7.2,9
42539.437,1820,355.81,6.7,-6,9
42539.448,403,356.6,28.42,5.3,9
42539.459,2376,358.11,4.77,6,9
42539.459,2846,358.45,4.98,8.4,9
42539.469,433,359.6,27.94,5.3,9
42539.491,941,1.88,14.12,5.3,9
42539.511,1130,4.16,10.15,5.3,9
42539.595,1073,14.26,11.18,5.3,9
42539.616,1034,17.28,11.69,5.3,9
42539.658,911,22.34,14.23,7,9
42539.68,513,24.64,21.43,5.3,9
42539.742,1270,33.42,10.92,5.3,9
42539.762,699,34.67,14.38,5.3,9
42541.714,879,270.78,10.93,5.3,10
42542.007,689,306.14,14.4,5.3,10
42542.028,1031,309.24,10.66,5.3,10
42542.07,733,313.61,12.9,5.3,10
42542.07,879,314.09,15.7,5.3,10
42542.091,1433,320.58,7.49,6,10
42542.091,911,317.11,11.2,5.3,10
42542.114,710,319.12,15.54,5.3,10
42542.154,1302,322.66,6.94,6,10
42542.154,1236,324.18,11.2,10.6,10
42542.196,972,328.71,14.9,5.3,10
42542.217,680,331.75,15.04,5.3,10
42542.238,1521,332.7,8.13,7.2,10
42542.238,733,333.79,13.47,5.3,10
42542.259,1022,336.81,11.91,5.3,10
42542.259,649,336.32,13.94,5.3,10
42542.259,731,336.54,15.44,5.3,10
42542.29,2101,340.41,5.24,6,10
42542.301,738,341.93,19.27,5.3,10
42542.31,1318,343.09,7.11,6,10
42542.321,925,343.98,13.59,5.3,10
42542.321,798,344.21,17.93,8.8,10
42542.333,2071,345.14,5.29,7.2,10
42542.365,834,349.54,16.12,5.3,10
42542.385,830,351.85,14.58,5.3,10
42542.394,2383,354.96,4.96,8.4,10
42542.406,1080,354.39,10.28,5.3,10
42542.416,1835,355.3,7.34,-6,10
42542.427,623,356.66,21.9,5.3,10
42542.457,1616,0.34,6.56,8.4,10
42542.468,451,3.2,20.12,5.3,10
42542.49,1144,4.46,10.37,5.3,10
42542.51,621,7.02,15.18,5.3,10
42542.551,1292,10.46,7.22,6,10
42542.574,1091,14.33,10.7,5.3,10
42542.617,733,24.09,12.8,5.3,10
42542.625,2504,20.9,4.8,7.2,10
42542.71,1520,30.67,6.75,6,10
42542.72,723,32.04,14.63,5.3,10
42542.846,1341,46.61,7.93,6,10
42544.691,891,271.37,10.81,5.3,11
42544.88,652,293.62,15.95,5.3,11
42545.006,599,308.72,18.08,5.3,11
42545.048,894,314.18,14.7,5.3,11
42545.069,925,316.96,10.98,5.3,11
42545.132,946,323.78,11.55,7,11
42545.154,1170,324.95,9.72,6,11
42545.175,1134,327.49,9.92,6,11
42545.175,986,329.06,12.62,7,11
42545.175,359,329.29,28.48,5.3,11
42545.195,1322,330.38,8.7,6,11
42545.216,1542,332.54,8.72,7.2,11
42545.226,1851,335.05,5.65,7.2,11
42545.236,662,336.4,13.58,5.3,11
42545.258,1051,344.39,12.55,5.3,11
42545.272,2145,340.54,6.27,6,11
42545.279,1090,341.52,12.22,7,11
42545.279,649,341.77,15.71,5.3,11
42545.279,661,341.76,19.16,5.3,11
42545.3,1333,342.7,7.05,6,11
42545.3,1051,345.74,12.36,5.3,11
42545.3,633,344.36,20.93,5.3,11
42545.321,1364,345.9,8.13,6,11
42545.321,683,346.62,14.27,5.3,11
42545.331,2535,347.78,4.68,7.2,11
42545.341,1067,349.15,12.65,10.6,11
42545.341,852,349.15,15.87,5.3,11
42545.341,414,349.65,27.45,5.3,11
42545.372,2401,355.48,4.55,7.2,11
42545.405,1315,355.5,10.11,6,11
42545.405,639,357.02,20.76,5.3,11
42545.415,2880,358.31,4.52,7.2,11
42545.446,1061,1.82,11.93,8.8,11
42545.446,417,1.89,29.79,5.3,11
42545.468,886,4.36,13.5,5.3,11
42545.488,1238,5.9,8.8,6,11
42545.51,1230,9.88,11.34,5.3,11
42545.551,1064,14.44,12.26,5.3,11
42545.594,869,19.74,15.87,7,11
42545.709,1690,35.82,6.6,7.2,11
42545.72,755,34.64,12.11,7,11
42545.803,679,45.28,12.77,7,11
42547.837,572,291.2,15.7,5.3,12
42547.943,990,303.85,14.54,5.3,12
42547.985,1092,308.83,10.49,7,12
42548.005,1015,311.78,14.17,5.3,12
42548.029,649,313.82,19.09,5.3,12
42548.047,944,316.32,13.03,5.3,12
42548.11,961,324.34,11.43,7,12
42548.11,625,324.12,22.08,5.3,12
42548.151,1010,328.89,12.62,8.8,12
42548.151,370,328.91,27.64,5.3,12
42548.194,1186,334,10.76,5.3,12
42548.194,655,334.5,20.09,5.3,12
42548.204,1883,335.32,6.22,6,12
42548.204,1914,335.51,5.42,9.6,12
42548.225,2005,338.22,4.77,7.2,12
42548.236,714,341.03,18.67,5.3,12
42548.258,1105,341.65,11.74,5.3,12
42548.258,338,342,29.65,5.3,12
42548.288,1343,345.38,6.74,7.2,12
